Post_ID,Brand,Handle,Post_Text,Total_Followers,Total_Posts_LastYear,Num_Likes,Num_Comments,Num_Reposts
31,LumoraBeauty,@LumoraBeauty,"Mixing retinol with Vitamin C can cause irritation for sensitive skin ⚠️ Separate them: Vitamin C in the morning, retinol at night. Do not let ingredient conflicts undo your routine.",485000,318,1994,33,53
32,LumoraBeauty,@LumoraBeauty,Glow-up season is every season with Lumora 🌸✨ Show us your before and after. We love celebrating YOUR progress 💕🙌,485000,318,3576,300,606
33,LumoraBeauty,@LumoraBeauty,Micellar water uses tiny oil molecules suspended in water to lift dirt without harsh rubbing. Suitable for all skin types including sensitive.,485000,318,2361,198,116
34,LumoraBeauty,@LumoraBeauty,That feeling when your concealer matches perfectly 💯😍 Screenshot this if your Lumora shade was spot on! We love your foundation stories 🎨💕,485000,318,2151,289,444
35,LumoraBeauty,@LumoraBeauty,"New in: Lumora Ceramide Repair Cream 🧴💙 Clinically tested, dermatologist-approved, packed with 5 essential ceramides. Shop now 🌙✨",485000,318,3685,102,549
36,LumoraBeauty,@LumoraBeauty,We need to address the 'ice cube pore tightening' myth that is still circulating 😤 Your pores do not open and close. Please stop. We are begging 🙏,485000,318,1743,74,580
37,LumoraBeauty,@LumoraBeauty,"Beauty is self-care, not a standard ✨ We love seeing your bare-skin confidence in our comments! Drop your current skincare win below 💛",485000,318,2259,427,353
38,LumoraBeauty,@LumoraBeauty,"SPF is non-negotiable, even on cloudy days ☁️ UVA rays penetrate glass and clouds, accelerating skin ageing. Our Luminous Shield SPF 50 is lightweight and perfect under makeup 💄🌸",485000,318,2013,81,476
39,LumoraBeauty,@LumoraBeauty,Plot twist: that miracle product you saw in a 15-second ad will not fix years of neglect in 3 days 😅 Real skincare takes consistency. Drop a 💪 if you are in it for the long game!,485000,318,987,67,129
40,LumoraBeauty,@LumoraBeauty,"Sleeping with makeup on leads to clogged pores, breakouts, and accelerated ageing ⚠️ Double cleansing at night is worth every second.",485000,318,1121,82,107
41,LumoraBeauty,@LumoraBeauty,This is your reminder that glowing skin is always in season 🌸🌟 Drop a ✨ if skincare is your favourite form of self-care!,485000,318,7130,532,402
42,LumoraBeauty,@LumoraBeauty,When the serum hits different after just one week 🤩✨ That glow? Non-negotiable. Tag a friend who needs this in their life 💛👇,485000,318,4892,441,736
43,LumoraBeauty,@LumoraBeauty,"Beauty is self-care, not a standard ✨ We love seeing your bare-skin confidence in our comments! Drop your current skincare win below 💛",485000,318,4177,581,432
44,LumoraBeauty,@LumoraBeauty,Current mood: applying a sheet mask and pretending it is a luxury spa day 🧖🥂 Anyone else? Drop a 🙋 if self-care Sunday is sacred to you!,485000,318,3353,296,416
45,LumoraBeauty,@LumoraBeauty,"Retinol 101 🧪 Start with 0.25% twice a week at night, always follow with SPF the next morning. Our Lumora Night Renewal Serum is perfect for beginners ✨🌙",485000,318,1961,263,309
46,LumoraBeauty,@LumoraBeauty,Current mood: applying a sheet mask and pretending it is a luxury spa day 🧖🥂 Anyone else? Drop a 🙋 if self-care Sunday is sacred to you!,485000,318,5776,453,254
47,LumoraBeauty,@LumoraBeauty,Introducing our bestselling Lumora Glow Serum now in a new 50ml size 🎉✨ Packed with 15% Vitamin C and hyaluronic acid for lit-from-within radiance. Shop now via link in bio 💛🌸,485000,318,4978,163,462
48,LumoraBeauty,@LumoraBeauty,Skincare personality test 🧴 Are you a 3-step minimalist or a full 10-step devotee? No wrong answers 👇,485000,318,3504,124,202
49,LumoraBeauty,@LumoraBeauty,Current mood: applying a sheet mask and pretending it is a luxury spa day 🧖🥂 Anyone else? Drop a 🙋 if self-care Sunday is sacred to you!,485000,318,3787,216,359
50,LumoraBeauty,@LumoraBeauty,"Lumora Hydra-Boost Toner is now available in a 200ml refill size. Reduce waste, save money. Available at lumorabeauty.com.",485000,318,2535,108,288
51,LumoraBeauty,@LumoraBeauty,Physical exfoliants use particles to buff skin. Chemical exfoliants (AHAs/BHAs) dissolve dead cells at a molecular level. Both are valid depending on your skin type and sensitivity.,485000,318,2423,64,139
52,LumoraBeauty,@LumoraBeauty,This is your reminder that glowing skin is always in season 🌸🌟 Drop a ✨ if skincare is your favourite form of self-care!,485000,318,4848,318,556
53,LumoraBeauty,@LumoraBeauty,Our Lumora subscription box ships monthly with 4 to 6 products curated to your skin type. Subscriptions open now. Details in link in bio.,485000,318,4161,246,104
54,LumoraBeauty,@LumoraBeauty,Hot take: your 10-minute nighttime routine is more powerful than any hour-long spa treatment 💆✨ Agree or disagree? Tell us your night routine 👇🌙,485000,318,4603,269,343
55,LumoraBeauty,@LumoraBeauty,Your skin deserves a standing ovation today 👏✨ Drop a compliment for a fellow skincare lover below. Good vibes only in Lumora comments! 💛🌸,485000,318,2054,93,440
56,LumoraBeauty,@LumoraBeauty,"SPF is non-negotiable, even on cloudy days ☁️ UVA rays penetrate glass and clouds, accelerating skin ageing. Our Luminous Shield SPF 50 is lightweight and perfect under makeup 💄🌸",485000,318,2499,168,260
57,LumoraBeauty,@LumoraBeauty,AHA vs BHA: AHAs (like glycolic acid) resurface the top layer for glow and texture 🌟 BHAs (like salicylic acid) go deeper into pores for blemish control 🧴 Both have their beautiful place 🌸,485000,318,4256,261,213
58,LumoraBeauty,@LumoraBeauty,"The order matters! Skincare layering: cleanser, toner, serum, eye cream, moisturiser, SPF (AM) or facial oil (PM) 🌸 Save this post for your next routine refresh 💛",485000,318,2278,275,190
59,LumoraBeauty,@LumoraBeauty,Hydration tip 💧 Hyaluronic acid works best on damp skin. Pat on after cleansing before it fully dries and watch the difference! ✨,485000,318,5991,384,234
60,LumoraBeauty,@LumoraBeauty,We need to address the 'ice cube pore tightening' myth that is still circulating 😤 Your pores do not open and close. Please stop. We are begging 🙏,485000,318,1387,107,88
61,LumoraBeauty,@LumoraBeauty,Your personalised skincare quiz is live 🎯✨ Answer 5 questions and we build your perfect Lumora routine. FREE 15% off with every quiz result 💛,485000,318,9055,66,369
62,LumoraBeauty,@LumoraBeauty,"Retinol 101 🧪 Start with 0.25% twice a week at night, always follow with SPF the next morning. Our Lumora Night Renewal Serum is perfect for beginners ✨🌙",485000,318,2562,402,308
63,LumoraBeauty,@LumoraBeauty,Quick poll: morning skincare or evening skincare? Which do you find more effective? 🌅🌙 Vote below!,485000,318,1381,228,371
64,LumoraBeauty,@LumoraBeauty,That feeling when your concealer matches perfectly 💯😍 Screenshot this if your Lumora shade was spot on! We love your foundation stories 🎨💕,485000,318,6727,105,733
65,LumoraBeauty,@LumoraBeauty,Hot take: your 10-minute nighttime routine is more powerful than any hour-long spa treatment 💆✨ Agree or disagree? Tell us your night routine 👇🌙,485000,318,7041,208,337
66,LumoraBeauty,@LumoraBeauty,AHA vs BHA: AHAs (like glycolic acid) resurface the top layer for glow and texture 🌟 BHAs (like salicylic acid) go deeper into pores for blemish control 🧴 Both have their beautiful place 🌸,485000,318,2235,252,432
67,LumoraBeauty,@LumoraBeauty,Your personalised skincare quiz is live 🎯✨ Answer 5 questions and we build your perfect Lumora routine. FREE 15% off with every quiz result 💛,485000,318,2891,296,694
68,LumoraBeauty,@LumoraBeauty,Quick poll: morning skincare or evening skincare? Which do you find more effective? 🌅🌙 Vote below!,485000,318,2278,314,260
69,LumoraBeauty,@LumoraBeauty,That feeling when your concealer matches perfectly 💯😍 Screenshot this if your Lumora shade was spot on! We love your foundation stories 🎨💕,485000,318,3176,232,520
70,LumoraBeauty,@LumoraBeauty,That feeling when your concealer matches perfectly 💯😍 Screenshot this if your Lumora shade was spot on! We love your foundation stories 🎨💕,485000,318,1472,145,146
71,LumoraBeauty,@LumoraBeauty,Our Lumora subscription box ships monthly with 4 to 6 products curated to your skin type. Subscriptions open now. Details in link in bio.,485000,318,2743,206,433
72,LumoraBeauty,@LumoraBeauty,Last chance ⏰ Our Summer Glow Bundle goes off sale at midnight. Do not miss out. Link in bio.,485000,318,458,60,65
73,LumoraBeauty,@LumoraBeauty,"If your skincare routine had a soundtrack, what would it be? 🎵✨ Ours would be slow, luxurious and a little glittery 💫💛 Let us know below!",485000,318,2249,206,268
74,LumoraBeauty,@LumoraBeauty,Glow-up season is every season with Lumora 🌸✨ Show us your before and after. We love celebrating YOUR progress 💕🙌,485000,318,10376,131,310
75,LumoraBeauty,@LumoraBeauty,"Skincare confession time 🙈 What is the rule you break most often? We will not judge, but your skin might 😅",485000,318,2135,157,283
76,LumoraBeauty,@LumoraBeauty,"Facial oils seal in moisture but do not add it. Apply last in your routine, over a water-based moisturiser, for best results.",485000,318,999,94,191
77,LumoraBeauty,@LumoraBeauty,New launch alert 🚨💄 Our Velvet Lip Collection is finally here. 12 stunning shades from nudes to bold berries 🍷 Your lips will thank you. Shop at lumorabeauty.com ✨,485000,318,4852,171,582
78,LumoraBeauty,@LumoraBeauty,Current mood: applying a sheet mask and pretending it is a luxury spa day 🧖🥂 Anyone else? Drop a 🙋 if self-care Sunday is sacred to you!,485000,318,1856,453,647
79,LumoraBeauty,@LumoraBeauty,Hot take: your 10-minute nighttime routine is more powerful than any hour-long spa treatment 💆✨ Agree or disagree? Tell us your night routine 👇🌙,485000,318,4927,357,824
80,LumoraBeauty,@LumoraBeauty,Your personalised skincare quiz is live 🎯✨ Answer 5 questions and we build your perfect Lumora routine. FREE 15% off with every quiz result 💛,485000,318,5183,111,628
81,LumoraBeauty,@LumoraBeauty,POV: You just found your Holy Grail moisturiser and you are about to tell everyone 😂💕 Tag that one friend who needs our Hydra-Glow cream ASAP 👇,485000,318,4393,473,584
82,LumoraBeauty,@LumoraBeauty,"Facial oils seal in moisture but do not add it. Apply last in your routine, over a water-based moisturiser, for best results.",485000,318,1098,48,206
83,LumoraBeauty,@LumoraBeauty,Physical exfoliants use particles to buff skin. Chemical exfoliants (AHAs/BHAs) dissolve dead cells at a molecular level. Both are valid depending on your skin type and sensitivity.,485000,318,2794,39,142
84,LumoraBeauty,@LumoraBeauty,"SPF is non-negotiable, even on cloudy days ☁️ UVA rays penetrate glass and clouds, accelerating skin ageing. Our Luminous Shield SPF 50 is lightweight and perfect under makeup 💄🌸",485000,318,4747,121,681
85,LumoraBeauty,@LumoraBeauty,Rate your current skincare routine: 1 = totally winging it to 5 = skincare scientist level 🔬 Drop your number below!,485000,318,3251,294,210
86,LumoraBeauty,@LumoraBeauty,Skincare personality test 🧴 Are you a 3-step minimalist or a full 10-step devotee? No wrong answers 👇,485000,318,5682,244,366
87,LumoraBeauty,@LumoraBeauty,That feeling when your concealer matches perfectly 💯😍 Screenshot this if your Lumora shade was spot on! We love your foundation stories 🎨💕,485000,318,5308,289,887
88,LumoraBeauty,@LumoraBeauty,Your skin deserves a standing ovation today 👏✨ Drop a compliment for a fellow skincare lover below. Good vibes only in Lumora comments! 💛🌸,485000,318,3903,239,454
89,LumoraBeauty,@LumoraBeauty,Hot take: your 10-minute nighttime routine is more powerful than any hour-long spa treatment 💆✨ Agree or disagree? Tell us your night routine 👇🌙,485000,318,4857,303,218
90,LumoraBeauty,@LumoraBeauty,"Lumora Hydra-Boost Toner is now available in a 200ml refill size. Reduce waste, save money. Available at lumorabeauty.com.",485000,318,3471,70,174
91,LumoraBeauty,@LumoraBeauty,Physical exfoliants use particles to buff skin. Chemical exfoliants (AHAs/BHAs) dissolve dead cells at a molecular level. Both are valid depending on your skin type and sensitivity.,485000,318,1495,127,62
92,LumoraBeauty,@LumoraBeauty,Hot take: your 10-minute nighttime routine is more powerful than any hour-long spa treatment 💆✨ Agree or disagree? Tell us your night routine 👇🌙,485000,318,2332,968,999
93,LumoraBeauty,@LumoraBeauty,Your skin deserves a standing ovation today 👏✨ Drop a compliment for a fellow skincare lover below. Good vibes only in Lumora comments! 💛🌸,485000,318,8872,237,893
94,LumoraBeauty,@LumoraBeauty,✨ LUMORA LOVES YOU ✨ Enjoy 20% off sitewide this weekend. Use code GLOW20 at checkout 💛 Your skin refresh is waiting at lumorabeauty.com 🌸,485000,318,3409,159,163
95,LumoraBeauty,@LumoraBeauty,Our Lumora Radiance Kit serum plus moisturiser plus SPF is your complete brightening routine in one beautiful box 📦💛 Perfect self-gift. Link in bio!,485000,318,3352,161,124
96,LumoraBeauty,@LumoraBeauty,Glow-up season is every season with Lumora 🌸✨ Show us your before and after. We love celebrating YOUR progress 💕🙌,485000,318,2721,241,292
97,LumoraBeauty,@LumoraBeauty,"Lumora Hydra-Boost Toner is now available in a 200ml refill size. Reduce waste, save money. Available at lumorabeauty.com.",485000,318,2930,94,253
98,LumoraBeauty,@LumoraBeauty,✨ LUMORA LOVES YOU ✨ Enjoy 20% off sitewide this weekend. Use code GLOW20 at checkout 💛 Your skin refresh is waiting at lumorabeauty.com 🌸,485000,318,6364,238,202
99,LumoraBeauty,@LumoraBeauty,Toners are not all the same. Hydrating toners add moisture. Exfoliating toners refine texture. Astringent toners manage oil. Choose by skin type.,485000,318,2375,64,77
100,LumoraBeauty,@LumoraBeauty,"Lumora Hydra-Boost Toner is now available in a 200ml refill size. Reduce waste, save money. Available at lumorabeauty.com.",485000,318,1899,140,265
101,LumoraBeauty,@LumoraBeauty,"Retinol 101 🧪 Start with 0.25% twice a week at night, always follow with SPF the next morning. Our Lumora Night Renewal Serum is perfect for beginners ✨🌙",485000,318,1440,149,478
102,LumoraBeauty,@LumoraBeauty,We need to address the 'ice cube pore tightening' myth that is still circulating 😤 Your pores do not open and close. Please stop. We are begging 🙏,485000,318,972,88,165
103,LumoraBeauty,@LumoraBeauty,New launch alert 🚨💄 Our Velvet Lip Collection is finally here. 12 stunning shades from nudes to bold berries 🍷 Your lips will thank you. Shop at lumorabeauty.com ✨,485000,318,3903,336,404
104,LumoraBeauty,@LumoraBeauty,Your skin deserves a standing ovation today 👏✨ Drop a compliment for a fellow skincare lover below. Good vibes only in Lumora comments! 💛🌸,485000,318,2268,159,551
105,LumoraBeauty,@LumoraBeauty,That feeling when your concealer matches perfectly 💯😍 Screenshot this if your Lumora shade was spot on! We love your foundation stories 🎨💕,485000,318,1528,251,477
106,LumoraBeauty,@LumoraBeauty,"Running low on your Lumora SPF? ☀️ Do not let your skin go unprotected. Restock before you run out. Link in bio, free delivery over 35 euros 🛒",485000,318,1468,50,127
107,LumoraBeauty,@LumoraBeauty,"Running low on your Lumora SPF? ☀️ Do not let your skin go unprotected. Restock before you run out. Link in bio, free delivery over 35 euros 🛒",485000,318,839,42,194
108,LumoraBeauty,@LumoraBeauty,✨ LUMORA LOVES YOU ✨ Enjoy 20% off sitewide this weekend. Use code GLOW20 at checkout 💛 Your skin refresh is waiting at lumorabeauty.com 🌸,485000,318,2884,235,671
109,LumoraBeauty,@LumoraBeauty,Hot take: your 10-minute nighttime routine is more powerful than any hour-long spa treatment 💆✨ Agree or disagree? Tell us your night routine 👇🌙,485000,318,9148,602,391
110,LumoraBeauty,@LumoraBeauty,"Niacinamide + Zinc = your best friends for oily, blemish-prone skin 🌿 This duo regulates sebum, minimises pores and calms inflammation. Find it in our ClearCalm range 🧴💚",485000,318,1506,127,234
111,LumoraBeauty,@LumoraBeauty,Physical exfoliants use particles to buff skin. Chemical exfoliants (AHAs/BHAs) dissolve dead cells at a molecular level. Both are valid depending on your skin type and sensitivity.,485000,318,1683,74,160
112,LumoraBeauty,@LumoraBeauty,Current mood: applying a sheet mask and pretending it is a luxury spa day 🧖🥂 Anyone else? Drop a 🙋 if self-care Sunday is sacred to you!,485000,318,1568,283,1088
113,LumoraBeauty,@LumoraBeauty,"Your skin barrier is everything 🛡️ Signs it is damaged: redness, tightness, sensitivity. The fix? Gentle cleansing, ceramide-rich moisturiser. We have got you 🌷",485000,318,6247,185,386
114,LumoraBeauty,@LumoraBeauty,Introducing our bestselling Lumora Glow Serum now in a new 50ml size 🎉✨ Packed with 15% Vitamin C and hyaluronic acid for lit-from-within radiance. Shop now via link in bio 💛🌸,485000,318,2618,156,1146
115,LumoraBeauty,@LumoraBeauty,When the serum hits different after just one week 🤩✨ That glow? Non-negotiable. Tag a friend who needs this in their life 💛👇,485000,318,4863,536,534
116,LumoraBeauty,@LumoraBeauty,POV: You just found your Holy Grail moisturiser and you are about to tell everyone 😂💕 Tag that one friend who needs our Hydra-Glow cream ASAP 👇,485000,318,5255,403,678
117,LumoraBeauty,@LumoraBeauty,"Did you know Vitamin C serums work best on clean, dry skin? ✨ Layer before your moisturiser for maximum brightening. Morning routine upgrade unlocked 🌅💛",485000,318,1860,131,844
118,LumoraBeauty,@LumoraBeauty,"Did you know Vitamin C serums work best on clean, dry skin? ✨ Layer before your moisturiser for maximum brightening. Morning routine upgrade unlocked 🌅💛",485000,318,2975,275,279
119,LumoraBeauty,@LumoraBeauty,"Beauty is self-care, not a standard ✨ We love seeing your bare-skin confidence in our comments! Drop your current skincare win below 💛",485000,318,2253,172,227
120,LumoraBeauty,@LumoraBeauty,Our Lumora subscription box ships monthly with 4 to 6 products curated to your skin type. Subscriptions open now. Details in link in bio.,485000,318,909,93,151
121,LumoraBeauty,@LumoraBeauty,"Your skin barrier is everything 🛡️ Signs it is damaged: redness, tightness, sensitivity. The fix? Gentle cleansing, ceramide-rich moisturiser. We have got you 🌷",485000,318,1473,91,204
122,LumoraBeauty,@LumoraBeauty,New launch alert 🚨💄 Our Velvet Lip Collection is finally here. 12 stunning shades from nudes to bold berries 🍷 Your lips will thank you. Shop at lumorabeauty.com ✨,485000,318,4481,247,397
123,LumoraBeauty,@LumoraBeauty,Ingredients are listed in order of concentration 📋 The first five make up the bulk of the formula. Look for actives in the top half of the list.,485000,318,2846,91,199
124,LumoraBeauty,@LumoraBeauty,Quick poll: morning skincare or evening skincare? Which do you find more effective? 🌅🌙 Vote below!,485000,318,1655,122,306
125,LumoraBeauty,@LumoraBeauty,Introducing our bestselling Lumora Glow Serum now in a new 50ml size 🎉✨ Packed with 15% Vitamin C and hyaluronic acid for lit-from-within radiance. Shop now via link in bio 💛🌸,485000,318,3094,479,513
126,LumoraBeauty,@LumoraBeauty,"Lumora products are available at Etos, Douglas, and online at lumorabeauty.com. Free delivery on orders over 35 euros.",485000,318,2829,102,263
127,LumoraBeauty,@LumoraBeauty,"Skincare confession time 🙈 What is the rule you break most often? We will not judge, but your skin might 😅",485000,318,4672,110,514
128,LumoraBeauty,@LumoraBeauty,Do you name your skincare products? 😂 We have a feeling some of you absolutely do. Tell us your funniest nickname 👇,485000,318,1294,224,499
129,LumoraBeauty,@LumoraBeauty,Exfoliate once or twice a week to remove dull dead cells ✨ But more is NOT better. Over-exfoliation strips your skin barrier. Less is always more 🌿🧖,485000,318,4512,228,140
130,LumoraBeauty,@LumoraBeauty,"Facial oils seal in moisture but do not add it. Apply last in your routine, over a water-based moisturiser, for best results.",485000,318,1486,192,284
131,LumoraBeauty,@LumoraBeauty,"Beauty is self-care, not a standard ✨ We love seeing your bare-skin confidence in our comments! Drop your current skincare win below 💛",485000,318,2946,179,590
132,LumoraBeauty,@LumoraBeauty,LIMITED TIME ✨ Buy any 2 Lumora skincare products and receive our Rose Glow face mask FREE 🌸🎁 Offer ends Sunday. Link in bio to grab yours! 💕,485000,318,3525,179,273
133,LumoraBeauty,@LumoraBeauty,"Lumora products are available at Etos, Douglas, and online at lumorabeauty.com. Free delivery on orders over 35 euros.",485000,318,2365,168,218
134,LumoraBeauty,@LumoraBeauty,Current mood: applying a sheet mask and pretending it is a luxury spa day 🧖🥂 Anyone else? Drop a 🙋 if self-care Sunday is sacred to you!,485000,318,4943,240,1578
135,LumoraBeauty,@LumoraBeauty,Plot twist: that miracle product you saw in a 15-second ad will not fix years of neglect in 3 days 😅 Real skincare takes consistency. Drop a 💪 if you are in it for the long game!,485000,318,1769,175,72
136,LumoraBeauty,@LumoraBeauty,"The order matters! Skincare layering: cleanser, toner, serum, eye cream, moisturiser, SPF (AM) or facial oil (PM) 🌸 Save this post for your next routine refresh 💛",485000,318,2144,130,190
137,LumoraBeauty,@LumoraBeauty,AHA vs BHA: AHAs (like glycolic acid) resurface the top layer for glow and texture 🌟 BHAs (like salicylic acid) go deeper into pores for blemish control 🧴 Both have their beautiful place 🌸,485000,318,1129,122,632
138,LumoraBeauty,@LumoraBeauty,"Beauty is self-care, not a standard ✨ We love seeing your bare-skin confidence in our comments! Drop your current skincare win below 💛",485000,318,4747,336,764
139,LumoraBeauty,@LumoraBeauty,"Lumora products are available at Etos, Douglas, and online at lumorabeauty.com. Free delivery on orders over 35 euros.",485000,318,1889,196,227
140,LumoraBeauty,@LumoraBeauty,"New in: Lumora Ceramide Repair Cream 🧴💙 Clinically tested, dermatologist-approved, packed with 5 essential ceramides. Shop now 🌙✨",485000,318,5199,123,413
141,LumoraBeauty,@LumoraBeauty,Current mood: applying a sheet mask and pretending it is a luxury spa day 🧖🥂 Anyone else? Drop a 🙋 if self-care Sunday is sacred to you!,485000,318,4301,164,259
142,LumoraBeauty,@LumoraBeauty,"Your skin barrier is everything 🛡️ Signs it is damaged: redness, tightness, sensitivity. The fix? Gentle cleansing, ceramide-rich moisturiser. We have got you 🌷",485000,318,1331,167,302
143,LumoraBeauty,@LumoraBeauty,"Skincare confession time 🙈 What is the rule you break most often? We will not judge, but your skin might 😅",485000,318,3493,205,719
144,LumoraBeauty,@LumoraBeauty,Our Lumora subscription box ships monthly with 4 to 6 products curated to your skin type. Subscriptions open now. Details in link in bio.,485000,318,2385,169,256
145,LumoraBeauty,@LumoraBeauty,LIMITED TIME ✨ Buy any 2 Lumora skincare products and receive our Rose Glow face mask FREE 🌸🎁 Offer ends Sunday. Link in bio to grab yours! 💕,485000,318,3937,156,523
146,LumoraBeauty,@LumoraBeauty,"Lumora Hydra-Boost Toner is now available in a 200ml refill size. Reduce waste, save money. Available at lumorabeauty.com.",485000,318,2138,65,235
147,LumoraBeauty,@LumoraBeauty,"Facial oils seal in moisture but do not add it. Apply last in your routine, over a water-based moisturiser, for best results.",485000,318,1064,93,286
148,LumoraBeauty,@LumoraBeauty,This is your reminder that glowing skin is always in season 🌸🌟 Drop a ✨ if skincare is your favourite form of self-care!,485000,318,5557,136,239
